average_journey_time,average_pt_service_rate,average_intracity_journey_time,average_intercity_journey_time,pt_network_name,train_headway,bus_headway,demand_size,intra_ratio,random_seed,total_pt_cost
3151.39,0.84,2680.96875,5033.075,basic,20,10,600,80,6,3084.831754632334
3140.445,0.8483333333333334,2702.6979166666665,4891.433333333333,basic,20,10,600,80,9,3084.831754632334
4963.564285714286,1.0,,4963.564285714286,basic,20,10,700,0,3,3084.831754632334
4956.754285714285,1.0,,4956.754285714285,basic,20,10,700,0,6,3084.831754632334
5039.635714285714,1.0,,5039.635714285714,basic,20,10,700,0,9,3084.831754632334
4530.055714285714,0.9585714285714284,2774.407142857143,4968.967857142857,basic,20,10,700,20,3,3084.831754632334
4506.694285714286,0.9557142857142856,2594.65,4984.705357142857,basic,20,10,700,20,6,3084.831754632334
4568.598571428572,0.9614285714285714,2695.214285714286,5036.944642857143,basic,20,10,700,20,9,3084.831754632334
4084.348571428572,0.9114285714285716,2753.917857142857,4971.302380952381,basic,20,10,700,40,3,3084.831754632334
4041.61,0.9157142857142856,2691.9464285714284,4941.385714285714,basic,20,10,700,40,6,3084.831754632334
4096.344285714285,0.92,2738.678571428572,5001.454761904762,basic,20,10,700,40,9,3084.831754632334
3625.2442857142855,0.8557142857142858,2762.345238095238,4919.592857142857,basic,20,10,700,60,3,3084.831754632334
3608.631428571429,0.8828571428571429,2669.116666666667,5017.903571428571,basic,20,10,700,60,6,3084.831754632334
3603.782857142857,0.8842857142857142,2707.940476190476,4947.546428571429,basic,20,10,700,60,9,3084.831754632334
3179.98,0.8157142857142857,2738.025,4947.8,basic,20,10,700,80,3,3084.831754632334
3187.405714285714,0.84,2719.641071428572,5058.464285714285,basic,20,10,700,80,6,3084.831754632334
3152.417142857143,0.8471428571428572,2689.4875,5004.135714285714,basic,20,10,700,80,9,3084.831754632334
4977.425,1.0,,4977.425,basic,20,10,800,0,3,3084.831754632334
4973.3975,1.0,,4973.3975,basic,20,10,800,0,6,3084.831754632334
5024.36875,1.0,,5024.36875,basic,20,10,800,0,9,3084.831754632334
4532.58375,0.9525,2738.825,4981.0234375,basic,20,10,800,20,3,3084.831754632334
4526.795,0.95,2640.03125,4998.4859375,basic,20,10,800,20,6,3084.831754632334
4544.105,0.96625,2677.675,5010.7125,basic,20,10,800,20,9,3084.831754632334
4070.66875,0.9025,2763.703125,4941.979166666667,basic,20,10,800,40,3,3084.831754632334
4079.37,0.91875,2681.415625,5011.339583333333,basic,20,10,800,40,6,3084.831754632334
4065.11875,0.92375,2697.3875,4976.939583333334,basic,20,10,800,40,9,3084.831754632334
3600.32875,0.855,2746.804166666667,4880.615625,basic,20,10,800,60,3,3084.831754632334
3645.85375,0.88125,2731.79375,5016.94375,basic,20,10,800,60,6,3084.831754632334
3578.57,0.885,2683.675,4920.9125,basic,20,10,800,60,9,3084.831754632334
3179.92875,0.805,2741.3609375,4934.2,basic,20,10,800,80,3,3084.831754632334
3192.48625,0.845,2728.6890625,5047.675,basic,20,10,800,80,6,3084.831754632334
3142.59,0.84375,2680.803125,4989.7375,basic,20,10,800,80,9,3084.831754632334
4970.461111111111,1.0,,4970.461111111111,basic,20,10,900,0,3,3084.831754632334
4980.281111111111,1.0,,4980.281111111111,basic,20,10,900,0,6,3084.831754632334
5015.933333333333,1.0,,5015.933333333333,basic,20,10,900,0,9,3084.831754632334
4518.018888888889,0.9466666666666668,2785.222222222222,4951.218055555555,basic,20,10,900,20,3,3084.831754632334
4530.4077777777775,0.9566666666666668,2713.927777777778,4984.527777777777,basic,20,10,900,20,6,3084.831754632334
4521.204444444445,0.9611111111111112,2648.3555555555554,4989.416666666667,basic,20,10,900,20,9,3084.831754632334
4066.9411111111112,0.9077777777777778,2759.7916666666665,4938.374074074074,basic,20,10,900,40,3,3084.831754632334
